No. de Depósito,Referencia,Potencia kW,Potencia HP,Tamaño constructivo,Velocidad rpm,Torque Nm,Corriente nominal 220VDD A,Corriente nominal 380VYY A,Corriente nominal 440VD A,Eficiencia %,Peso neto (IM B3) kg,Precio de lista USD,rpm,polos,costo_Pesos,(%) deslizamiento
100664716,1LE0143-1EB46-4AA4-Z D80+D81,22.0,30.0,180L,1775,118.0,77.0,44.5,38.5,93.6,211.0,2843.3,1800,4,11043377.200000001,1.3888888888888888
100664717,1LE0143-2AB46-4AA4-Z D80+D81,30.0,40.0,200L,1780,161.0,99.0,57.0,49.5,94.1,270.0,3938.5,1800,4,15297134.0,1.1111111111111112
100664718,1LE0143-2BB06-4AA4-Z D80+D81,37.0,50.0,225M,1785,198.0,123.0,71.0,62.0,94.5,345.0,4514.8,1800,4,17535483.2,0.8333333333333334
100664719,1LE0143-2CB06-4AA4-Z D80+D81,45.0,60.0,250M,1785,241.0,144.0,83.0,72.0,95.0,471.0,6235.9,1800,4,24220235.599999998,0.8333333333333334
100664730,1LE0143-2CB16-4AA4-Z D80+D81,51.5,70.0,250M,1788,275.0,169.0,98.0,84.0,95.4,472.0,7032.3,1800,4,27313453.2,0.6666666666666667
100664731,1LE0143-2CB36-4AA4-Z D80+D81,66.0,90.0,250M,1788,353.0,215.0,126.0,109.0,95.4,477.0,9096.4,1800,4,35330417.6,0.6666666666666667
100664732,1LE0143-2DB23-3AA4-Z D80+D81,90.0,125.0,280M,1788,481.0,,,149.0,95.4,660.0,11819.7,1800,4,45907714.800000004,0.6666666666666667
100664733,1LE0143-2DB83-3AA4-Z D80+D81,110.0,150.0,280M,1786,588.0,,,178.0,95.8,660.0,13094.5,1800,4,50859038.0,0.7777777777777778
100664734,1LE8143-3AB23-3AA4-Z D80+D81,150.0,200.0,315M,1792,799.0,,,240.0,96.2,1330.0,17523.3,1800,4,68060497.2,0.4444444444444444
100664735,1LE8143-3AB63-3AA4-Z D80+D81,185.0,250.0,315L,1790,987.0,,,300.0,96.2,1330.0,19619.7,1800,4,76202914.8,0.5555555555555556
100664755,1LE0143-0EC16-4AA4-Z D80+D81,0.55,0.75,90S,1145,4.7,2.7,1.55,1.34,81.7,25.0,391.1,1200,6,1519032.4000000001,4.583333333333333
100664679,1LE0143-0EC06-4AA4-Z D80+D81,0.75,1.0,90S,1145,6.3,3.55,2.05,1.77,82.5,25.0,440.2,1200,6,1709736.8,4.583333333333333
100664780,1LE0143-1BC06-4AA4-Z D80+D81,1.1,1.5,112M,1165,9.0,4.8,2.8,2.4,87.5,45.0,526.8,1200,6,2046091.1999999997,2.9166666666666665
100664781,1LE0143-1BC16-4AA4-Z D80+D81,1.5,2.0,112M,1170,12.2,7.0,4.05,3.5,88.5,50.0,649.7,1200,6,2523434.8000000003,2.5
100664782,1LE0143-1BC26-4AA4-Z D80+D81,2.2,3.0,112M,1170,18.0,10.4,6.0,5.2,89.5,55.0,790.7,1200,6,3071078.8000000003,2.5
100664783,1LE0143-1CC06-4AA4-Z D80+D81,3.0,4.0,132S,1165,24.6,12.3,7.1,6.2,89.5,66.0,834.2,1200,6,3240032.8000000003,2.9166666666666665
100664784,1LE0143-1CC26-4AA4-Z D80+D81,3.7,5.0,132M,1160,30.5,15.4,8.9,7.7,89.5,74.0,971.9,1200,6,3774859.6,3.3333333333333335
100664785,1LE0143-1CC36-4AA4-Z D80+D81,5.5,7.5,132M,1170,44.9,24.0,13.9,12.0,91.0,91.0,1204.0,1200,6,4676336.0,2.5
100664786,1LE0143-1DC26-4AA4-Z D80+D81,7.5,10.0,160L,1185,60.4,30.5,17.5,15.1,91.0,139.0,1543.0,1200,6,5993012.0,1.25
100664787,1LE0143-1DC46-4AA4-Z D80+D81,11.0,15.0,160L,1185,88.6,45.0,26.0,22.5,91.7,142.0,2278.0,1200,6,8847752.0,1.25
